観測日時,宮津,宮津 (2),舞鶴,舞鶴 (2),園部,園部 (2),京都,京都 (2),京田辺,京田辺 (2),間人,間人 (2),美山,美山 (2),福知山,福知山 (2),香住,香住.1,豊岡,豊岡.1,和田山,和田山.1,生野,生野.1,一宮,一宮.1,柏原,柏原.1,西脇,西脇.1,福崎,福崎.1,家島,家島.1,三田,三田.1,洲本,洲本.1,兎和野高原,兎和野高原.1,南淡,南淡.1,郡家,郡家.1
2018年3月3日21時,1.7,13,3,11,1,12,1.7,2,1,8,2.3,6,0.3,2,0.9,16,3.3,7,1.3,3,0.9,10,0.8,8,0.1,0,1.7,6,0.1,0,0.6,1,1.5,1,1.8,14,6.3,7,3.2,9,2.9,5,3.7,7
2018年3月3日22時,1.3,14,3,11,0.8,12,0.9,1,1.1,4,2.3,6,0.2,0,1.3,15,3.7,8,0.5,16,0.2,0,0.7,9,0.8,15,0.3,7,0.4,1,0.6,1,2.1,3,1.3,13,1,16,3.7,9,3.8,8,3,7
2018年3月3日23時,1.9,14,2.5,11,0.5,12,1.8,16,1.2,8,2.8,6,0.4,12,1,6,2.2,9,0.7,7,0.5,13,1.5,8,0.6,13,2,5,0.4,7,0.8,2,1.8,1,1.4,14,1.8,16,4.2,9,1.3,8,1.4,6
2018年3月3日24時,1.3,1,2.5,11,0.6,11,0.5,2,1.9,7,1.8,8,0,0,0.9,15,3.7,8,1.3,3,0.1,0,1.3,8,0.8,1,0.9,6,0.5,5,0.4,16,1.8,2,1.8,14,2.1,2,3.7,9,1.2,11,1.2,6
2018年3月4日1時,1.9,16,3.8,11,0.4,11,1,16,0.9,5,1.6,10,0.6,2,0.8,1,2.2,7,0.5,3,1,10,1.6,8,1,15,1.4,7,0.1,0,0.7,2,2.2,2,0.1,0,1.6,10,3.9,9,0.6,10,1,6
2018年3月4日2時,1.4,13,4.3,11,0.5,13,1.1,15,0.5,6,2.4,7,0.3,4,0.4,14,1.7,6,0.7,5,0.4,13,1.8,9,1,15,1,13,0,0,0.7,14,1.7,2,0.6,15,1.2,8,3.4,9,3.6,6,0,0
2018年3月4日3時,0.9,11,3.5,11,0,0,0.9,3,0.6,9,3.9,6,0.3,2,0.3,9,1.7,7,0.9,14,0.5,15,2.3,8,1.1,15,2,5,0.4,3,1,14,1.8,1,0.8,7,1.4,2,3.2,9,4.3,6,1.5,7
2018年3月4日4時,1.6,13,2.8,10,0.4,12,1.2,12,1.5,5,1.8,6,0,0,0.5,9,0.5,12,0.5,6,0.5,11,2.1,8,0,0,0.3,16,0,0,0.1,0,1.5,2,1.6,15,1.5,2,3.4,9,2.5,10,0.3,4
2018年3月4日5時,3.1,12,3.6,11,1.3,12,0.3,3,0.4,6,2,6,0.1,0,1.4,15,1.6,7,0.4,1,0.5,16,1.7,8,0.5,15,1.4,5,0.2,0,0.3,15,1.7,1,0.5,13,1,3,3.4,9,1,9,0.9,7
2018年3月4日6時,2.1,15,2.6,11,0.2,0,0.4,3,1.3,8,6.1,5,0.3,2,0.6,1,1.3,9,0.3,15,0.3,8,2.2,9,0.2,0,1.4,5,0,0,0,0,1.5,14,0.2,0,0.6,5,2.8,10,1.1,11,0,0
