,観測日時,日最高値
328,2019-08-24 16:00:00,79.0
329,2019-08-25 17:00:00,84.0
330,2019-08-26 13:00:00,60.0
331,2019-08-27 15:00:00,64.0
332,2019-08-28 00:00:00,41.0
333,2019-08-29 13:00:00,68.0
334,2019-08-30 01:00:00,17.0
335,2019-08-31 15:00:00,61.0
336,2019-09-01 14:00:00,60.0
337,2019-09-02 13:00:00,85.0
338,2019-09-03 15:00:00,41.0
339,2019-09-04 18:00:00,40.0
340,2019-09-05 14:00:00,63.0
341,2019-09-06 11:00:00,69.0
342,2019-09-07 13:00:00,63.0
343,2019-09-08 11:00:00,34.0
344,2019-09-09 14:00:00,21.0
345,2019-09-10 16:00:00,72.0
346,2019-09-11 14:00:00,92.0
347,2019-09-12 13:00:00,60.0
348,2019-09-13 13:00:00,34.0
349,2019-09-14 16:00:00,42.0
350,2019-09-15 14:00:00,49.0
351,2019-09-16 16:00:00,36.0
352,2019-09-17 13:00:00,47.0
353,2019-09-18 11:00:00,44.0
354,2019-09-19 15:00:00,61.0
355,2019-09-20 15:00:00,60.0
356,2019-09-21 13:00:00,42.0
357,2019-09-22 13:00:00,50.0
358,2019-09-23 16:00:00,37.0
359,2019-09-24 12:00:00,57.0
360,2019-09-25 14:00:00,58.0
361,2019-09-26 14:00:00,66.0
362,2019-09-27 15:00:00,93.0
363,2019-09-28 11:00:00,72.0
364,2019-09-29 15:00:00,69.0
365,2019-09-30 13:00:00,55.0
